"BOKU_1","BOKU_2","BOKU_3","BOKU_4","SKG-I_1","SKG-I_2","SKG-I_3","SKG-I_4"
"65.4859","61.2643","29.5149","30.7704","94.6994","145.5490","61.4013","88.0456"
"72.4498","87.4884","41.3701","62.1553","98.2443","132.3867","49.2341","51.4736"
"36.4800","13.9142","29.0531","36.3655","23.3061","43.7754","11.1249","5.4942"
"2544.18","2587.83","3207.3","3246.5","1900.3","1590.8","2362.2","2497.2"
"1004.04","1189.64","991.1462","1172.49","1167.98","1188.31","1011.54","995.9163"
"52.0718","0.0000","118.3226","86.3837","510.7826","572.9654","321.4000","378.8150"
"85.9526","134.8841","8.5174","11.7823","53.5422","15.9446","6.5265","5.4372"
"59.2502","57.8147","53.3981","55.5432","47.4108","31.2563","85.4997","78.1148"
"11.8240","28.2980","19.9949","9.7123","14.1508","20.2388","25.2327","17.3800"
"1.4858","20.6783","1.0000","1.7650","22.4048","9.1174","5.2553","1.7260"
"16.5275","2.0362","23.2668","12.5673","1.8833","11.7802","15.0431","19.6667"
"6.6399","2.9658","4.7390","3.8489","8.1953","6.6830","19.6136","15.8425"
"13.6390","6.6439","3.0626","3.4187","6.7764","42.1864","3.9160","5.3688"
"224.1520","383.4519","178.3608","289.9984","234.2314","200.3356","138.0668","99.9631"
"182.0457","172.5181","188.7538","251.7040","99.6361","150.0716","97.1447","115.2972"
"87.6436","80.5186","112.6278","132.2608","210.0738","126.2613","148.2394","76.1159"
"6.1794","6.3677","3.6728","31.0051","12.9552","3.6526","10.6234","6.5833"
"71.5234","35.6301","69.5501","54.2464","48.2843","32.0475","51.6264","66.6560"
"230.4367","249.9013","281.6114","293.5395","290.6179","339.8931","212.9205","216.8808"
"5.7123","1.8398","8.0496","4.8452","14.0838","10.9243","4.1632","2.1733"
"10.3327","7.5006","26.8884","48.2480","39.1726","17.3007","7.6191","4.9172"
"8.9415","21.9574","26.6565","1.5021","4.9018","28.2081","12.1431","40.3708"
"21315.0000","21506.4000","24900.2900","35191.9400","8623.9900","11585.5500","22156.3300","20978.3400"
"3634.7900","3823.5500","3491.3900","3475.2200","4030.2200","3954.4400","3087.8500","3252.9200"
"24.1509","28.8474","34.0935","23.3996","124.1393","104.5142","74.1375","52.4625"
"0.0000","74.9394","146.5518","109.0707","155.6633","92.7804","168.3763","191.1085"
"473.5924","368.0050","434.5685","280.8027","244.8984","160.8606","227.7982","166.1926"
"107.7374","116.9688","45.5133","59.2391","7.0424","4.0751","4.7485","4.7821"
"113.7052","75.7862","75.4369","99.0875","80.4137","79.8679","110.2317","111.2536"
"1255.8600","1332.8300","1917.1500","1903.9400","1939.9300","2114.5900","3080.3400","2766.0200"
"2.5934","2.3013","1.0000","1.8648","2.3206","21.6115","6.6767","14.2800"
"34.4619","6.0937","51.3772","45.8081","99.4518","114.9402","44.1635","61.7738"
"1.0000","2.4188","26.7537","14.5837","5.4202","2.7521","7.7136","10.1118"
"127.8099","100.4679","142.7797","150.6683","185.8313","108.4417","44.6251","84.7126"
"19.7707","18.1179","7.2100","10.3430","13.3238","30.2459","17.1713","22.0405"
"25.9008","36.5740","1.7820","16.4573","15.9773","11.1376","23.9376","3.9723"
"272.0851","150.7478","210.0769","153.5898","94.5617","45.5150","59.4296","19.8727"
"4.4811","1.3992","2.2642","2.6487","2.0169","2.5464","10.1040","21.6959"
"15.9038","60.1663","42.3496","13.9455","80.6044","33.6477","49.2444","47.9322"
"47.3111","34.3341","53.3053","6.7375","32.3573","37.5433","28.1333","50.1562"
"7.0595","27.2629","14.7392","13.2578","31.7106","7.0851","5.9504","7.8171"
"20.3926","25.3985","27.8212","11.4564","18.6914","22.0348","6.2190","9.9775"
"28.6507","63.9128","56.9233","55.3986","48.4245","61.7025","102.8103","96.4027"
"2368.3200","2694.2900","2254.9000","2413.4700","169.6138","130.1932","88.0884","75.6115"
"52.3966","50.1880","57.9569","51.7778","74.8731","71.6723","65.3231","45.0978"
"18.4461","22.5590","40.6067","49.3340","4.4996","31.9996","25.0827","35.0949"
"191.7379","170.8943","182.0319","209.1616","327.5900","239.8691","296.0620","326.1297"
"1018.3600","926.1111","902.7022","1100.4200","1307.4400","1113.2500","832.2632","829.5909"
"15.0168","38.1570","41.7280","5.0859","8.3953","55.2339","48.7912","14.1264"
"121.2865","145.6411","59.8345","47.9558","36.6978","19.4611","35.0401","42.0752"
"3353.9900","3388.4700","2707.7700","2765.9500","2312.9600","2126.4300","2225.0900","2039.4200"
"3.9454","4.2189","2.9842","2.1303","1.6100","2.2999","2.5061","3.0706"
"5.3516","20.0846","17.9676","31.6905","27.5299","2.4261","2.2623","20.0799"
"2297.9900","2214.9100","1914.9600","1856.5900","2208.9800","1908.9900","1991.1700","1830.1600"
"1.7139","14.2783","18.6991","3.0870","22.2941","2.2671","6.0224","3.0613"
"31.0653","17.1147","4.6653","3.5692","4.4249","8.1021","8.8204","1.0000"
"302.3713","260.1173","458.9798","400.7536","155.3128","194.0050","226.8688","299.2615"
"85.6139","117.8088","117.7078","45.5123","129.9473","48.7457","69.1061","107.6461"
"796.0013","1106.3200","836.2370","817.4051","1108.6900","1141.1400","658.4622","739.1342"
"30.5632","29.6270","27.5559","44.5140","24.0818","14.1554","20.7175","30.9696"
"21.0433","1.6342","18.3521","8.1439","1.0000","9.8427","2.3651","8.8251"
"4.8350","5.1232","2.6778","11.1016","5.0577","3.4401","4.0049","4.2475"
"28.7382","34.9765","39.8324","62.2489","49.0787","53.7223","34.9659","16.1441"
"149.6823","176.1622","154.8565","111.4930","227.7612","229.5714","169.2644","132.2355"
"11.3739","4.3787","1.3152","2.5182","10.9657","1.9550","1.4069","1.0000"
"449.1538","498.0028","1064.1500","1077.4000","118.1369","139.9581","310.7815","317.7676"
"55.3698","105.2916","107.1407","77.8923","50.6006","28.1890","49.7696","39.4410"
"4.3872","18.3304","1.0000","1.0812","9.4223","1.5759","1.0000","1.0000"
"2.5307","5.8618","2.4715","1.4261","2.9375","5.5581","2.7426","1.5067"
"46.9090","15.7644","7.2485","26.2720","10.5588","10.2544","35.9739","14.9522"
"7.0728","17.6553","40.2293","7.2897","2.1786","44.0849","4.0502","4.6580"
"30.0448","18.5423","18.3890","15.0808","30.6543","23.9126","23.0246","40.9409"
"102.0014","46.3510","111.8705","131.9813","10.5438","29.5811","83.2400","63.3291"
"5.8077","15.6561","182.9120","160.7752","48.4395","88.7569","484.5690","541.1631"
"61.3632","97.5021","216.3486","182.0413","152.3900","136.1412","152.5865","141.7999"
"43.3789","72.1643","49.7741","64.0552","35.9042","49.2034","9.6896","56.6101"
"900.7948","799.9064","650.2102","649.3467","954.9821","947.3556","749.0135","697.1621"
"278.9144","311.6675","370.3576","336.1633","801.9063","823.1857","622.1210","620.7728"
"12.7273","3.4333","31.7397","17.1496","1.7219","5.9953","24.8117","7.2685"
"98.1813","126.2357","89.1257","75.6011","326.2847","282.2745","480.6039","546.9417"
"36.5217","35.9246","42.1910","86.4592","134.6092","67.0575","322.1575","310.1162"
"181.5821","191.1461","557.1155","559.5606","249.2586","218.8756","431.7950","419.7115"
"271.1434","268.4707","241.2457","172.8454","622.9349","636.2968","654.3150","573.6823"
"1264.3300","1267.5800","1962.4900","1662.2100","1466.2600","1579.2900","2003.0100","1991.8800"
"8.8022","10.3855","1.4525","1.0333","1367.5400","1104.7000","7383.0100","7000.9600"
"107.5797","82.6474","191.1234","149.1206","167.5503","146.0263","254.8295","174.1135"
"2.7698","12.5736","1.0000","10.7008","1.0000","1.0000","1.2743","1.0000"
"5153.24","5295.30","3872.39","4039.06","6217.44","6417.94","4105.12","4300.11"
"1533.70","1433.21","1523.00","1602.99","865.04","946.32","1199.67","1106.62"
"70.4868","114.3537","76.5284","121.6142","34.6242","24.2690","30.8482","23.4553"
"4359.84","3685.80","5028.32","4147.93","4905.04","4209.74","4807.52","4629.06"
